Index,GT_File,Pred_File,Model,PSNR_dB,SSIM,LPIPS_VGG
1,1.png,0_lama.png,lama,30.6175,0.9542,0.0555
2,2.png,1_lama.png,lama,20.6842,0.8759,0.1678
3,3.png,2_lama.png,lama,29.3491,0.9226,0.1056
4,4.png,3_lama.png,lama,15.2416,0.8332,0.2087
5,5.png,4_lama.png,lama,20.0492,0.9236,0.0999
6,6.png,5_lama.png,lama,21.036,0.8768,0.13
7,7.png,6_lama.png,lama,22.05,0.9397,0.0833
8,8.png,7_lama.png,lama,17.5962,0.8968,0.1038
9,9.png,8_lama.png,lama,19.2681,0.91,0.0915
10,10.png,9_lama.png,lama,24.263,0.9211,0.0816
11,11.png,10_lama.png,lama,22.0779,0.9083,0.1155
12,12.png,11_lama.png,lama,21.8563,0.931,0.1013
13,13.png,12_lama.png,lama,23.1495,0.9513,0.0635
14,14.png,13_lama.png,lama,20.9186,0.9267,0.0991
15,15.png,14_lama.png,lama,28.4902,0.9588,0.0728
16,16.png,15_lama.png,lama,27.0313,0.9533,0.0677
17,17.png,16_lama.png,lama,14.6389,0.7552,0.2834
AVERAGE,17 pairs,-,lama,22.254,0.9081,0.1136
