Msg Timestamp,Message,Layer Id,Time,RuntimeGraph Name
7202876059,LOAD,-1,379,us,
7202876059,DESERIALIZE,-1,294,us,
7202876059,CREATE,-1,580532,us,
7202876059,INIT,-1,582298,us,
7202876059,DE-INIT,-1,33135,us,
7202876059,CREATE_NETWORK(S),-1,575005,us,
7202876059,RPC_INIT_TIME,-1,0,,
7202876059,SNPE_ACCELERATOR_INIT_TIME,-1,0,,
7202876059,ACCELERATOR_INIT_TIME,-1,0,,
7202838197,AVG_TOTAL_INFERENCE_TIME,-1,537489,us,graph_xvgj3gl0
7202838197,AVG_FORWARD_PROPAGATE_TIME,-1,537467,us,graph_xvgj3gl0
7202838197,AVG_RPC_EXECUTE_TIME,-1,0,,graph_xvgj3gl0
7202838197,AVG_SNPE_ACCELERATOR_TIME,-1,0,,graph_xvgj3gl0
7202838197,AVG_ACCELERATOR_TIME,-1,0,,graph_xvgj3gl0
7202838197,AVG_EXECUTE_TIME_SUBNET_0,-1,536688,GPU,graph_xvgj3gl0
7202838197,EXECUTE_TIME_SUBNET_0,-1,537968,GPU,graph_xvgj3gl0
7202838197,TOTAL_INFERENCE_TIME,-1,539449,us,graph_xvgj3gl0
7202838197,FORWARD_PROPAGATE,-1,539424,us,graph_xvgj3gl0
7202838197,FORWARD_PROPAGATE_LAYER,0,169,GPU,graph_xvgj3gl0
7202838197,FORWARD_PROPAGATE_LAYER,1,225,GPU,graph_xvgj3gl0
7202838197,FORWARD_PROPAGATE_LAYER,2,134,GPU,graph_xvgj3gl0
7202838197,FORWARD_PROPAGATE_LAYER,3,157,GPU,graph_xvgj3gl0
7202838197,FORWARD_PROPAGATE_LAYER,4,93,GPU,graph_xvgj3gl0
7202838197,FORWARD_PROPAGATE_LAYER,5,4514,GPU,graph_xvgj3gl0
7202838197,FORWARD_PROPAGATE_LAYER,6,13313,GPU,graph_xvgj3gl0
7202838197,FORWARD_PROPAGATE_LAYER,7,17048,GPU,graph_xvgj3gl0
7202838197,FORWARD_PROPAGATE_LAYER,8,246,GPU,graph_xvgj3gl0
